experiment,condition,model,memory,avg_accuracy,squared_error,ape
Exp1,Confirm Filler,expt1,3,0.17149999999999907,0.00396558213148236,0.5802499999999916
Exp1,Confirm Filler,expt1,3.5,0.1761999999999995,0.00457961709272272,0.6235571428571385
Exp1,Confirm Filler,expt1,4,0.17996666666666775,0.00510360714440254,0.6582642857142962
Exp1,Confirm Filler,expt1,4.5,0.1820333333333335,0.00540316166636623,0.6773071428571446
Exp1,Confirm Filler,expt1,5,0.18923333333333295,0.00651349096869173,0.7436499999999969
Exp1,Confirm Filler,expt1,5.5,0.1857666666666671,0.00596594574905361,0.7117071428571474
Exp1,Confirm Filler,expt1,6,0.19023333333333453,0.00667590337179275,0.752864285714297
Exp1,Confirm Filler,expt1,6.5,0.1913333333333337,0.00685686701520347,0.7630000000000036
Exp1,Confirm Filler,expt1,7,0.19130000000000116,0.00685134771287802,0.7626928571428682
Exp1,Confirm Filler,expt1,7.5,0.19023333333333353,0.00667590337179259,0.7528642857142878
Exp1,Confirm Filler,expt1,8,0.1845000000000001,0.00577187670512591,0.7000357142857155
Exp1,Confirm Filler,expt1,8.5,0.18303333333333285,0.0055511740694669,0.6865214285714242
Exp1,Confirm Filler,expt1,9,0.1809333333333329,0.00524265802295528,0.6671714285714245
Exp1,Confirm Filler,expt1,9.5,0.18086666666666665,0.00523300830719307,0.6665571428571426
Exp1,Confirm Filler,expt1,10,0.17223333333333302,0.00405848011597856,0.5870071428571402
Exp1,Confirm Filler,expt1,10.5,0.16799999999999976,0.00353702205396307,0.547999999999998
Exp1,Confirm Filler,expt1,11,0.16293333333333312,0.00296003476714137,0.501314285714284
Exp1,Confirm Filler,expt1,11.5,0.1588000000000003,0.00252736127876933,0.4632285714285744
Exp1,Confirm Filler,expt1,12,0.15173333333333383,0.00186677585241276,0.3981142857142905
Exp1,Confirm Filler,expt1,12.5,0.145866666666666,0.00139424086533256,0.34405714285713695
Exp1,Confirm One-shot,expt1,3,0.11185000000000032,0.20968838356003217,0.8036918367346932
Exp1,Confirm One-shot,expt1,3.5,0.11429999999999994,0.20745059059491625,0.7993918367346939
Exp1,Confirm One-shot,expt1,4,0.12425000000000004,0.1984857910018929,0.7819285714285714
Exp1,Confirm One-shot,expt1,4.5,0.13314999999999977,0.19063479053677684,0.7663081632653065
