experiment,condition,id,phase,block,word_type,item,word,word_i,exposure,accuracy,selection,correct1,correct2,correct3,value,value1,value2,value3
4,same,1,learning,post-flush,target,51,zum,15,3,1,obj1_2,1,1,1,tuba,tuba,tuba,tuba
4,same,1,learning,post-flush,target,52,ruftin,16,3,1,obj1_4,1,1,1,ruler,ruler,ruler,ruler
4,same,1,learning,post-flush,target,53,loog,17,3,0,obj2_1,1,1,0,train,violin,violin,train
4,same,1,learning,post-flush,target,54,plyder,18,3,1,obj1_1,1,1,1,wrench,wrench,wrench,wrench
4,same,1,test,post-flush,target,55,zum,15,4,1,target_2,1,1,1,tuba,tuba,tuba,tuba
4,same,1,test,post-flush,target,56,ruftin,16,4,1,target_4,1,1,1,ruler,ruler,ruler,ruler
4,same,1,test,post-flush,target,57,loog,17,4,0,random4,1,1,0,clarinet,violin,violin,train
4,same,1,test,post-flush,target,58,plyder,18,4,1,target_1,1,1,1,wrench,wrench,wrench,wrench
4,same,1,test,flush,filler,59,glemp,5,4,0,foil1_1,0,0,1,glove,glove,helmet,helmet
4,same,1,test,flush,filler,60,heek,6,4,0,foil1_1,0,0,0,broccoli,broccoli,helicopter,acorn
4,same,1,test,flush,filler,61,toma,7,4,0,random4,0,0,0,sofa,flute,screwdriver,necktie
4,same,1,test,flush,filler,62,blicket,8,4,1,target_2,0,0,1,saw,desk,saw,saw
4,same,1,test,flush,filler,63,nortle,9,4,0,foil3,0,0,0,trumpet,acorn,bus,dresser
4,same,1,test,flush,filler,64,vep,10,4,0,random3,0,0,0,bat,mitt,marker,flute
4,same,1,test,flush,filler,65,kuabid,11,4,1,target_1,0,0,1,paperclip,dresser,paperclip,paperclip
4,same,1,test,flush,filler,66,wug,12,4,1,target_2,0,1,1,pinecone,racket,pinecone,pinecone
4,same,1,test,flush,filler,67,smick,13,4,1,target_2,0,0,1,pencil,sandwich,eraser,pencil
4,same,1,test,flush,filler,68,channer,14,4,1,target_4,0,1,1,lamp,harp,lamp,lamp
4,same,1,test,pre-flush,target,69,yate,1,4,1,target_2,1,1,1,apple,apple,apple,apple
4,same,1,test,pre-flush,target,70,fendle,2,4,1,target_4,1,1,1,camera,camera,camera,camera
4,same,1,test,pre-flush,target,71,mipen,3,4,1,target_4,1,1,1,bat,bat,bat,bat
4,same,1,test,pre-flush,target,72,dax,4,4,1,target_4,1,1,1,computer,computer,computer,computer
4,same,1,debrief,debrief,NA,Cheat,NA,NA,NA,NA,NA,NA,NA,NA,My data is good,NA,NA,NA
4,same,1,debrief,debrief,NA,Strategies,NA,NA,NA,NA,NA,NA,NA,NA,trying to match which picutures always showed up,NA,NA,NA
4,same,1,debrief,debrief,NA,WriteDown,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA
4,same,1,debrief,debrief,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,None%2C i think it made more sense at the end seeing the words vs the pictures but who knows.,NA,NA,NA
4,same,2,learning,warm-up,filler,1,glemp,5,1,0,obj4_1,0,NA,NA,eraser,eraser,NA,NA
4,same,2,learning,warm-up,filler,2,heek,6,1,0,obj1_1,0,NA,NA,broccoli,broccoli,NA,NA
4,same,2,learning,warm-up,filler,3,toma,7,1,0,obj2_1,0,NA,NA,flute,flute,NA,NA
4,same,2,learning,warm-up,filler,4,blicket,8,1,0,obj1_1,0,NA,NA,desk,desk,NA,NA
4,same,2,learning,warm-up,filler,5,nortle,9,1,0,obj4_1,0,NA,NA,cookie,cookie,NA,NA
4,same,2,learning,warm-up,filler,6,vep,10,1,0,obj2_1,0,NA,NA,mitt,mitt,NA,NA
4,same,2,learning,warm-up,filler,7,kuabid,11,1,0,obj4_1,0,NA,NA,dresser,dresser,NA,NA
4,same,2,learning,warm-up,filler,8,wug,12,1,0,obj4_1,0,NA,NA,plane,plane,NA,NA
4,same,2,learning,warm-up,filler,9,smick,13,1,0,obj3_1,0,NA,NA,pencil,pencil,NA,NA
4,same,2,learning,warm-up,filler,10,channer,14,1,0,obj1_1,0,NA,NA,lamp,lamp,NA,NA
4,same,2,learning,pre-flush,target,11,yate,1,1,1,obj4_1,1,NA,NA,ball,ball,NA,NA
4,same,2,learning,pre-flush,target,12,fendle,2,1,1,obj4_1,1,NA,NA,camera,camera,NA,NA
4,same,2,learning,pre-flush,target,13,mipen,3,1,1,obj3_1,1,NA,NA,drill,drill,NA,NA
4,same,2,learning,pre-flush,target,14,dax,4,1,1,obj3_1,1,NA,NA,clarinet,clarinet,NA,NA
4,same,2,learning,pre-flush,target,15,yate,1,2,0,obj3_3,1,0,NA,book,ball,book,NA
4,same,2,learning,pre-flush,target,16,fendle,2,2,0,obj4_3,1,0,NA,clover,camera,clover,NA
4,same,2,learning,pre-flush,target,17,mipen,3,2,0,obj2_3,1,0,NA,bat,drill,bat,NA
4,same,2,learning,pre-flush,target,18,dax,4,2,1,obj1_3,1,1,NA,clarinet,clarinet,clarinet,NA
4,same,2,learning,pre-flush,target,19,yate,1,3,0,obj2_3,1,0,0,bat,ball,book,bat
4,same,2,learning,pre-flush,target,20,fendle,2,3,0,obj2_4,1,0,0,orchid,camera,clover,orchid
4,same,2,learning,pre-flush,target,21,mipen,3,3,1,obj1_3,1,0,1,drill,drill,bat,drill
4,same,2,learning,pre-flush,target,22,dax,4,3,1,obj1_3,1,1,1,clarinet,clarinet,clarinet,clarinet
4,same,2,learning,flush,filler,23,glemp,5,2,1,obj1_4,0,1,NA,glove,eraser,glove,NA
4,same,2,learning,flush,filler,24,heek,6,2,0,obj2_1,0,0,NA,pliers,broccoli,pliers,NA
4,same,2,learning,flush,filler,25,toma,7,2,1,obj1_2,0,1,NA,controller,flute,controller,NA
4,same,2,learning,flush,filler,26,blicket,8,2,0,obj4_4,0,0,NA,pinecone,desk,pinecone,NA
4,same,2,learning,flush,filler,27,nortle,9,2,1,obj1_4,0,1,NA,acorn,cookie,acorn,NA
4,same,2,learning,flush,filler,28,vep,10,2,0,obj2_2,0,0,NA,scissors,mitt,scissors,NA
4,same,2,learning,flush,filler,29,kuabid,11,2,0,obj4_1,0,0,NA,rose,dresser,rose,NA
4,same,2,learning,flush,filler,30,wug,12,2,0,obj4_1,0,0,NA,hat,plane,hat,NA
4,same,2,learning,flush,filler,31,smick,13,2,0,obj4_4,0,0,NA,helmet,pencil,helmet,NA
4,same,2,learning,flush,filler,32,channer,14,2,0,obj2_1,0,0,NA,screwdriver,lamp,screwdriver,NA
4,same,2,learning,flush,filler,33,glemp,5,3,0,obj3_4,0,1,0,pencil,eraser,glove,pencil
4,same,2,learning,flush,filler,34,heek,6,3,0,obj4_3,0,0,0,screw,broccoli,pliers,screw
4,same,2,learning,flush,filler,35,toma,7,3,0,obj2_4,0,1,0,chair,flute,controller,chair
4,same,2,learning,flush,filler,36,blicket,8,3,1,obj1_2,0,0,1,saw,desk,pinecone,saw
4,same,2,learning,flush,filler,37,nortle,9,3,1,obj1_4,0,1,1,acorn,cookie,acorn,acorn
4,same,2,learning,flush,filler,38,vep,10,3,0,obj2_2,0,0,0,harp,mitt,scissors,harp
4,same,2,learning,flush,filler,39,kuabid,11,3,1,obj1_1,0,0,1,paperclip,dresser,rose,paperclip
4,same,2,learning,flush,filler,40,wug,12,3,0,obj3_3,0,0,0,mitt,plane,hat,mitt
4,same,2,learning,flush,filler,41,smick,13,3,0,obj2_3,0,0,0,pineapple,pencil,helmet,pineapple
4,same,2,learning,flush,filler,42,channer,14,3,0,obj3_1,0,0,0,plane,lamp,screwdriver,plane
4,same,2,learning,post-flush,target,43,zum,15,1,1,obj2_1,1,NA,NA,tuba,tuba,NA,NA
4,same,2,learning,post-flush,target,44,ruftin,16,1,1,obj1_1,1,NA,NA,shirt,shirt,NA,NA
4,same,2,learning,post-flush,target,45,loog,17,1,1,obj1_1,1,NA,NA,shovel,shovel,NA,NA
4,same,2,learning,post-flush,target,46,plyder,18,1,1,obj2_1,1,NA,NA,train,train,NA,NA
4,same,2,learning,post-flush,target,47,zum,15,2,1,obj1_2,1,1,NA,tuba,tuba,tuba,NA
4,same,2,learning,post-flush,target,48,ruftin,16,2,1,obj1_1,1,1,NA,shirt,shirt,shirt,NA
4,same,2,learning,post-flush,target,49,loog,17,2,0,obj2_1,1,0,NA,violin,shovel,violin,NA
4,same,2,learning,post-flush,target,50,plyder,18,2,1,obj1_2,1,1,NA,train,train,train,NA
4,same,2,learning,post-flush,target,51,zum,15,3,1,obj1_2,1,1,1,tuba,tuba,tuba,tuba
4,same,2,learning,post-flush,target,52,ruftin,16,3,1,obj1_1,1,1,1,shirt,shirt,shirt,shirt
4,same,2,learning,post-flush,target,53,loog,17,3,1,obj1_1,1,0,1,shovel,shovel,violin,shovel
4,same,2,learning,post-flush,target,54,plyder,18,3,0,obj4_1,1,1,0,usb,train,train,usb
4,same,2,test,post-flush,target,55,zum,15,4,0,foil1_2,1,1,1,sock,tuba,tuba,tuba
4,same,2,test,post-flush,target,56,ruftin,16,4,1,target_1,1,1,1,shirt,shirt,shirt,shirt
4,same,2,test,post-flush,target,57,loog,17,4,0,random4,1,0,1,clarinet,shovel,violin,shovel
4,same,2,test,post-flush,target,58,plyder,18,4,0,foil1_2,1,1,0,wrench,train,train,usb
4,same,2,test,flush,filler,59,glemp,5,4,0,random2,0,1,0,goggles,eraser,glove,pencil
4,same,2,test,flush,filler,60,heek,6,4,0,foil1_1,0,0,0,broccoli,broccoli,pliers,screw
4,same,2,test,flush,filler,61,toma,7,4,0,foil1_2,0,1,0,flute,flute,controller,chair
4,same,2,test,flush,filler,62,blicket,8,4,1,target_2,0,0,1,saw,desk,pinecone,saw
