experiment,id,condition,phase,item,exposure,word,word_type,target_referent,selected_object,target_selected,selection,input
2,93415,Confirm,learning,12,1,channer,target,NA,clarinet,1,target,NA
2,93415,Confirm,learning,13,1,zum,one-shot,NA,saw,1,target,NA
2,93415,Confirm,learning,14,2,channer,target,NA,clarinet,1,target,NA
2,93415,Confirm,learning,15,1,toma,filler,NA,paperclip,0,foil1,NA
2,93415,Confirm,learning,16,1,ruftin,filler,NA,pinecone,0,foil1,NA
2,93415,Confirm,learning,17,1,nortle,filler,NA,sandwich,0,foil1,NA
2,93415,Confirm,learning,18,3,kuabid,target,NA,bed,1,target,NA
2,93415,Confirm,learning,19,1,blicket,filler,NA,lamp,0,foil1,NA
2,93415,Confirm,learning,20,3,dax,target,NA,bookcase,1,target,NA
2,93415,Confirm,learning,21,2,plyder,filler,NA,cookie,1,target,NA
2,93415,Confirm,learning,22,2,heek,filler,NA,mitt,1,target,NA
2,93415,Confirm,learning,23,2,toma,filler,NA,skateboard,1,target,NA
2,93415,Confirm,learning,24,3,smick,target,NA,bat,1,target,NA
2,93415,Confirm,learning,25,2,ruftin,filler,NA,plane,1,target,NA
2,93415,Confirm,learning,26,3,channer,target,NA,clarinet,1,target,NA
2,93415,Confirm,learning,27,2,nortle,filler,NA,pants,0,foil2,NA
2,93415,Confirm,learning,28,2,blicket,filler,NA,clover,0,foil2,NA
2,93415,Confirm,test,29,test,kuabid,target,NA,bed,1,target,NA
2,93415,Confirm,test,30,test,dax,target,NA,bookcase,1,target,NA
2,93415,Confirm,test,31,test,smick,target,NA,bat,1,target,NA
2,93415,Confirm,test,32,test,channer,target,NA,clarinet,1,target,NA
2,93415,Confirm,test,33,test,yate,one-shot,NA,scissors,0,foil2,NA
2,93415,Confirm,test,34,test,fendle,one-shot,NA,drum,1,target,NA
2,93415,Confirm,test,35,test,mipen,one-shot,NA,controller,1,target,NA
2,93415,Confirm,test,36,test,zum,one-shot,NA,saw,1,target,NA
2,93415,Confirm,test,37,test,plyder,filler,NA,cookie,1,target,NA
2,93415,Confirm,test,38,test,heek,filler,NA,pineapple,0,foil1,NA
2,93415,Confirm,test,39,test,toma,filler,NA,pants,0,foil1,NA
2,93415,Confirm,test,40,test,ruftin,filler,NA,pinecone,0,foil1,NA
2,93415,Confirm,test,41,test,nortle,filler,NA,sandwich,0,foil1,NA
2,93415,Confirm,test,42,test,blicket,filler,NA,clover,0,foil2,NA
2,93415,Confirm,debrief,other languages,NA,NA,NA,NA,NA,NA,NA,no
2,93415,Confirm,debrief,Cheat,NA,NA,NA,NA,NA,NA,NA,My data is good
2,93415,Confirm,debrief,Strategies,NA,NA,NA,NA,NA,NA,NA,I just kind of guessed and picked the word I thought it was. I continued to pick the same one from then on until I cannot.
2,93415,Confirm,debrief,WriteDown,NA,NA,NA,NA,NA,NA,NA,No%2C as I thought I didn't need to do that for this study.
2,93415,Confirm,debrief,Other,NA,NA,NA,NA,NA,NA,NA,Nope
2,24517,Confirm,learning,1,1,plyder,filler,NA,car,0,foil1,NA
2,24517,Confirm,learning,2,1,heek,filler,NA,mitt,0,foil1,NA
2,24517,Confirm,learning,3,1,kuabid,target,NA,orchid,1,target,NA
2,24517,Confirm,learning,4,1,yate,one-shot,NA,chair,1,target,NA
2,24517,Confirm,learning,5,2,kuabid,target,NA,orchid,1,target,NA
2,24517,Confirm,learning,6,1,dax,target,NA,bike,1,target,NA
2,24517,Confirm,learning,7,1,fendle,one-shot,NA,broccoli,1,target,NA
2,24517,Confirm,learning,8,2,dax,target,NA,bike,1,target,NA
2,24517,Confirm,learning,9,1,smick,target,NA,dress,1,target,NA
2,24517,Confirm,learning,10,1,mipen,one-shot,NA,controller,1,target,NA
