Results.reception.time,id,condition,phase,PennElementName,item,exposure,word,word_type,target_selection,target_typed,target_typed_edited,target_superordinate_typed,target_superordinate_selected,selected_object,Value,edited_value,typed_matches_guess_exactly,superordinate_selection,superordinate,typed_matches_guess_super,target_selected,selection,Comments
1702073033,10701,Confirm,learning,input,16,1,ruftin,Foil,plane,foil,foil,other,super-plant,pinecone,pinecone,pinecone,1,super-plant,super-plant,1,0,foil1,NULL
1702073033,10701,Confirm,learning,learning_selector,17,1,nortle,Foil,keyboard,foil,foil,other,super-stationery,pencil,obj3_1,NA,NA,super-stationery,NA,0,0,foil1,obj1_1;obj3_1;obj4_1;obj2_1
1702073033,10701,Confirm,learning,input,17,1,nortle,Foil,keyboard,foil,foil,other,super-stationery,pencil,pencil,pencil,1,super-stationery,super-stationery,1,0,foil1,NULL
1702073033,10701,Confirm,learning,learning_selector,18,3,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,obj1_3,NA,NA,super-furniture,NA,0,1,target,obj4_4;obj2_4;obj3_2;obj1_3
1702073033,10701,Confirm,learning,input,18,3,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,bed,bed,1,super-furniture,super-furniture,1,1,target,NULL
1702073033,10701,Confirm,learning,learning_selector,19,1,blicket,Foil,harp,foil,foil,other,super-tool,screwdriver,obj3_1,NA,NA,super-tool,NA,0,0,foil1,obj2_1;obj1_1;obj4_1;obj3_1
1702073033,10701,Confirm,learning,input,19,1,blicket,Foil,harp,foil,foil,other,super-tool,screwdriver,screw driver,screwdriver,1,super-tool,super-tool,1,0,foil1,NULL
1702073033,10701,Confirm,learning,learning_selector,20,3,dax,Target,camera,camera,camera,super-electronic,super-electronic,cookie,obj4_2,NA,NA,super-food,NA,0,0,foil3,obj2_2;obj3_4;obj1_4;obj4_2
1702073033,10701,Confirm,learning,input,20,3,dax,Target,camera,camera,camera,super-electronic,super-electronic,cookie,cookie,cookie,1,super-food,super-food,1,0,foil3,NULL
1702073033,10701,Confirm,learning,learning_selector,21,2,plyder,Foil,car,foil,foil,other,super-electronic,mitt,obj3_4,NA,NA,super-sports,NA,0,0,foil2,obj2_3;obj1_2;obj4_4;obj3_4
1702073033,10701,Confirm,learning,input,21,2,plyder,Foil,car,foil,foil,other,super-electronic,mitt,glove,glove,0,super-sports,super-clothes,0,0,foil2,NULL
1702073033,10701,Confirm,learning,learning_selector,22,2,heek,Foil,pineapple,foil,foil,other,super-tool,racket,obj3_3,NA,NA,super-sports,NA,0,0,foil2,obj3_3;obj1_4;obj4_3;obj2_1
1702073033,10701,Confirm,learning,input,22,2,heek,Foil,pineapple,foil,foil,other,super-tool,racket,tennis racket,racket,1,super-sports,super-sports,1,0,foil2,NULL
1702073033,10701,Confirm,learning,learning_selector,23,2,toma,Foil,pants,foil,foil,other,super-furniture,acorn,obj4_2,NA,NA,super-plant,NA,0,0,foil2,obj1_4;obj2_3;obj3_3;obj4_2
1702073033,10701,Confirm,learning,input,23,2,toma,Foil,pants,foil,foil,other,super-furniture,acorn,acorn,acorn,1,super-plant,super-plant,1,0,foil2,NULL
1702073033,10701,Confirm,learning,learning_selector,24,3,smick,Target,dress,dress,dress,super-clothes,super-clothes,dress,obj1_2,NA,NA,super-clothes,NA,0,1,target,obj1_2;obj4_4;obj3_3;obj2_1
1702073033,10701,Confirm,learning,input,24,3,smick,Target,dress,dress,dress,super-clothes,super-clothes,dress,dress,dress,1,super-clothes,super-clothes,1,1,target,NULL
1702073033,10701,Confirm,learning,learning_selector,25,2,ruftin,Foil,plane,foil,foil,other,super-plant,sandwich,obj2_3,NA,NA,super-food,NA,0,0,foil2,obj1_3;obj4_3;obj3_3;obj2_3
1702073033,10701,Confirm,learning,input,25,2,ruftin,Foil,plane,foil,foil,other,super-plant,sandwich,sandwich,sandwich,1,super-food,super-food,1,0,foil2,NULL
1702073033,10701,Confirm,learning,learning_selector,26,3,channer,Target,clarinet,clarinet,clarinet,super-instrument,super-instrument,clarinet,obj1_3,NA,NA,super-instrument,NA,0,1,target,obj3_3;obj4_3;obj2_3;obj1_3
1702073033,10701,Confirm,learning,input,26,3,channer,Target,clarinet,clarinet,clarinet,super-instrument,super-instrument,clarinet,clarinet,clarinet,1,super-instrument,super-instrument,1,1,target,NULL
1702073033,10701,Confirm,learning,learning_selector,27,2,nortle,Foil,keyboard,foil,foil,other,super-stationery,skateboard,obj4_4,NA,NA,super-vehicle,NA,0,0,foil2,obj2_4;obj1_3;obj4_4;obj3_3
