experiment,condition,model,learning_space_size,subject,phase,trial_index,exposure,word,selection,accuracy,previous_correct
suanda,highcd,might,9,293,testing,4,1,4,4,1,1.0
suanda,highcd,might,9,293,testing,5,1,5,2,0,0.0
suanda,highcd,might,9,293,testing,6,1,6,6,1,0.0
suanda,highcd,might,9,293,testing,7,1,7,7,1,1.0
suanda,highcd,might,9,293,testing,8,1,8,8,1,1.0
suanda,highcd,might,5,292,learning,1,1,3,3,1,
suanda,highcd,might,5,292,learning,1,1,1,1,1,
suanda,highcd,might,5,292,learning,2,1,5,6,0,
suanda,highcd,might,5,292,learning,2,1,6,5,0,
suanda,highcd,might,5,292,learning,3,1,2,2,1,
suanda,highcd,might,5,292,learning,3,1,4,4,1,
suanda,highcd,might,5,292,learning,4,1,8,7,0,
suanda,highcd,might,5,292,learning,4,1,7,8,0,
suanda,highcd,might,5,292,learning,5,2,1,1,1,1.0
suanda,highcd,might,5,292,learning,5,2,5,5,1,0.0
suanda,highcd,might,5,292,learning,6,2,3,3,1,1.0
suanda,highcd,might,5,292,learning,6,2,7,3,0,0.0
suanda,highcd,might,5,292,learning,7,2,2,2,1,1.0
suanda,highcd,might,5,292,learning,7,2,6,2,0,0.0
suanda,highcd,might,5,292,learning,8,2,8,4,0,0.0
suanda,highcd,might,5,292,learning,8,2,4,4,1,1.0
suanda,highcd,might,5,292,learning,9,3,2,2,1,1.0
suanda,highcd,might,5,292,learning,9,3,1,1,1,1.0
suanda,highcd,might,5,292,learning,10,3,8,5,0,0.0
suanda,highcd,might,5,292,learning,10,3,5,8,0,1.0
suanda,highcd,might,5,292,learning,11,3,4,4,1,1.0
suanda,highcd,might,5,292,learning,11,3,3,3,1,1.0
suanda,highcd,might,5,292,learning,12,3,6,6,1,0.0
suanda,highcd,might,5,292,learning,12,3,7,6,0,0.0
suanda,highcd,might,5,292,learning,13,4,2,2,1,1.0
suanda,highcd,might,5,292,learning,13,4,3,3,1,1.0
suanda,highcd,might,5,292,learning,14,4,1,1,1,1.0
suanda,highcd,might,5,292,learning,14,4,4,1,0,1.0
suanda,highcd,might,5,292,learning,15,4,8,6,0,0.0
suanda,highcd,might,5,292,learning,15,4,6,6,1,1.0
suanda,highcd,might,5,292,learning,16,4,7,7,1,0.0
suanda,highcd,might,5,292,learning,16,4,5,7,0,0.0
suanda,highcd,might,5,292,testing,1,1,1,1,1,1.0
suanda,highcd,might,5,292,testing,2,1,2,2,1,1.0
suanda,highcd,might,5,292,testing,3,1,3,3,1,1.0
suanda,highcd,might,5,292,testing,4,1,4,7,0,0.0
suanda,highcd,might,5,292,testing,5,1,5,4,0,0.0
suanda,highcd,might,5,292,testing,6,1,6,1,0,1.0
suanda,highcd,might,5,292,testing,7,1,7,7,1,1.0
suanda,highcd,might,5,292,testing,8,1,8,2,0,0.0
suanda,highcd,might,7,291,learning,1,1,3,3,1,
suanda,highcd,might,7,291,learning,1,1,1,1,1,
suanda,highcd,might,7,291,learning,2,1,5,5,1,
suanda,highcd,might,7,291,learning,2,1,6,6,1,
suanda,highcd,might,7,291,learning,3,1,2,4,0,
suanda,highcd,might,7,291,learning,3,1,4,2,0,
suanda,highcd,might,7,291,learning,4,1,8,8,1,
suanda,highcd,might,7,291,learning,4,1,7,7,1,
suanda,highcd,might,7,291,learning,5,2,1,1,1,1.0
suanda,highcd,might,7,291,learning,5,2,5,5,1,1.0
suanda,highcd,might,7,291,learning,6,2,3,3,1,1.0
suanda,highcd,might,7,291,learning,6,2,7,7,1,1.0
suanda,highcd,might,7,291,learning,7,2,2,6,0,0.0
suanda,highcd,might,7,291,learning,7,2,6,6,1,1.0
suanda,highcd,might,7,291,learning,8,2,8,8,1,1.0
suanda,highcd,might,7,291,learning,8,2,4,8,0,0.0
suanda,highcd,might,7,291,learning,9,3,2,1,0,0.0
suanda,highcd,might,7,291,learning,9,3,1,1,1,1.0
suanda,highcd,might,7,291,learning,10,3,8,8,1,1.0
suanda,highcd,might,7,291,learning,10,3,5,5,1,1.0
suanda,highcd,might,7,291,learning,11,3,4,3,0,0.0
suanda,highcd,might,7,291,learning,11,3,3,3,1,1.0
suanda,highcd,might,7,291,learning,12,3,6,6,1,1.0
suanda,highcd,might,7,291,learning,12,3,7,7,1,1.0
suanda,highcd,might,7,291,learning,13,4,2,3,0,0.0
suanda,highcd,might,7,291,learning,13,4,3,3,1,1.0
suanda,highcd,might,7,291,learning,14,4,1,1,1,1.0
suanda,highcd,might,7,291,learning,14,4,4,1,0,0.0
suanda,highcd,might,7,291,learning,15,4,8,8,1,1.0
suanda,highcd,might,7,291,learning,15,4,6,6,1,1.0
suanda,highcd,might,7,291,learning,16,4,7,7,1,1.0
suanda,highcd,might,7,291,learning,16,4,5,5,1,1.0
suanda,highcd,might,7,291,testing,1,1,1,1,1,1.0
suanda,highcd,might,7,291,testing,2,1,2,5,0,0.0
suanda,highcd,might,7,291,testing,3,1,3,3,1,1.0
suanda,highcd,might,7,291,testing,4,1,4,5,0,0.0
suanda,highcd,might,7,291,testing,5,1,5,5,1,1.0
suanda,highcd,might,7,291,testing,6,1,6,6,1,1.0
suanda,highcd,might,7,291,testing,7,1,7,7,1,1.0
suanda,highcd,might,7,291,testing,8,1,8,8,1,1.0
suanda,highcd,might,7,290,learning,1,1,3,1,0,
suanda,highcd,might,7,290,learning,1,1,1,3,0,
suanda,highcd,might,7,290,learning,2,1,5,5,1,
suanda,highcd,might,7,290,learning,2,1,6,6,1,
suanda,highcd,might,7,290,learning,3,1,2,4,0,
suanda,highcd,might,7,290,learning,3,1,4,2,0,
suanda,highcd,might,7,290,learning,4,1,8,7,0,
suanda,highcd,might,7,290,learning,4,1,7,8,0,
suanda,highcd,might,7,290,learning,5,2,1,1,1,0.0
suanda,highcd,might,7,290,learning,5,2,5,5,1,1.0
suanda,highcd,might,7,290,learning,6,2,3,7,0,0.0
suanda,highcd,might,7,290,learning,6,2,7,3,0,0.0
suanda,highcd,might,7,290,learning,7,2,2,6,0,0.0
suanda,highcd,might,7,290,learning,7,2,6,6,1,1.0
suanda,highcd,might,7,290,learning,8,2,8,4,0,0.0
suanda,highcd,might,7,290,learning,8,2,4,4,1,0.0
suanda,highcd,might,7,290,learning,9,3,2,1,0,0.0
suanda,highcd,might,7,290,learning,9,3,1,2,0,1.0
suanda,highcd,might,7,290,learning,10,3,8,5,0,0.0
suanda,highcd,might,7,290,learning,10,3,5,8,0,1.0
suanda,highcd,might,7,290,learning,11,3,4,4,1,1.0
suanda,highcd,might,7,290,learning,11,3,3,4,0,0.0
suanda,highcd,might,7,290,learning,12,3,6,6,1,1.0
suanda,highcd,might,7,290,learning,12,3,7,7,1,0.0
suanda,highcd,might,7,290,learning,13,4,2,3,0,0.0
suanda,highcd,might,7,290,learning,13,4,3,2,0,0.0
suanda,highcd,might,7,290,learning,14,4,1,1,1,0.0
suanda,highcd,might,7,290,learning,14,4,4,4,1,1.0
suanda,highcd,might,7,290,learning,15,4,8,8,1,0.0
suanda,highcd,might,7,290,learning,15,4,6,6,1,1.0
suanda,highcd,might,7,290,learning,16,4,7,5,0,1.0
suanda,highcd,might,7,290,learning,16,4,5,7,0,0.0
suanda,highcd,might,7,290,testing,1,1,1,1,1,1.0
suanda,highcd,might,7,290,testing,2,1,2,7,0,0.0
suanda,highcd,might,7,290,testing,3,1,3,5,0,0.0
suanda,highcd,might,7,290,testing,4,1,4,4,1,1.0
suanda,highcd,might,7,290,testing,5,1,5,4,0,0.0
suanda,highcd,might,7,290,testing,6,1,6,6,1,1.0
suanda,highcd,might,7,290,testing,7,1,7,7,1,0.0
suanda,highcd,might,7,290,testing,8,1,8,2,0,1.0
suanda,highcd,might,6,289,learning,1,1,3,1,0,
suanda,highcd,might,6,289,learning,1,1,1,3,0,
suanda,highcd,might,6,289,learning,2,1,5,6,0,
suanda,highcd,might,6,289,learning,2,1,6,5,0,
suanda,highcd,might,6,289,learning,3,1,2,4,0,
suanda,highcd,might,6,289,learning,3,1,4,2,0,
suanda,highcd,might,6,289,learning,4,1,8,7,0,
suanda,highcd,might,6,289,learning,4,1,7,8,0,
suanda,highcd,might,6,289,learning,5,2,1,5,0,0.0
suanda,highcd,might,6,289,learning,5,2,5,1,0,0.0
suanda,highcd,might,6,289,learning,6,2,3,3,1,0.0
suanda,highcd,might,6,289,learning,6,2,7,7,1,0.0
suanda,highcd,might,6,289,learning,7,2,2,2,1,0.0
suanda,highcd,might,6,289,learning,7,2,6,6,1,0.0
